"","site","plot","tree","week","species","rep","plot_number.x","mean_pd","mpa_pd","date_pd","plot_number.y","mean_md","mpa_md","date_md"
"1","Chamise","Chamise","2020",10,"blue oak","1",NA,NA,NA,NA,"Chamise",2.17333333333333,2.2,2022-03-08
"2","Chamise","Chamise","2020",10,"blue oak","2",NA,NA,NA,NA,"Chamise",2.17333333333333,2.02,2022-03-08
"3","Chamise","Chamise","2020",10,"blue oak","3",NA,NA,NA,NA,"Chamise",2.17333333333333,2.3,2022-03-08
"4","Chamise","Chamise","2020",11,"blue oak","1","Chamise",1.58275,1.64,2022-03-15,NA,NA,NA,NA
"5","Chamise","Chamise","2020",11,"blue oak","2","Chamise",1.58275,1.315,2022-03-15,NA,NA,NA,NA
"6","Chamise","Chamise","2020",11,"blue oak","3","Chamise",1.58275,1.786,2022-03-15,NA,NA,NA,NA
"7","Chamise","Chamise","2020",11,"blue oak","4","Chamise",1.58275,1.59,2022-03-15,NA,NA,NA,NA
"8","Chamise","Chamise","2020",14,"blue oak","1","Chamise",0.68625,0.415,2022-04-04,"Chamise",2.43333333333333,2.3,2022-04-04
"9","Chamise","Chamise","2020",14,"blue oak","2","Chamise",0.68625,0.487,2022-04-04,"Chamise",2.43333333333333,2.4,2022-04-04
"10","Chamise","Chamise","2020",14,"blue oak","3","Chamise",0.68625,0.998,2022-04-04,"Chamise",2.43333333333333,2.6,2022-04-04
"11","Chamise","Chamise","2020",14,"blue oak","4","Chamise",0.68625,0.845,2022-04-04,NA,NA,NA,NA
"12","Chamise","Chamise","2020",15,"blue oak","1",NA,NA,NA,NA,"Chamise",2.16666666666667,2.3,2022-04-13
"13","Chamise","Chamise","2020",15,"blue oak","2",NA,NA,NA,NA,"Chamise",2.16666666666667,2.2,2022-04-13
"14","Chamise","Chamise","2020",15,"blue oak","3",NA,NA,NA,NA,"Chamise",2.16666666666667,2,2022-04-13
"15","Chamise","Chamise","2020",17,"blue oak","1","Chamise",0.94,1.038,2022-04-27,"Chamise",1.781,1.681,2022-04-27
"16","Chamise","Chamise","2020",17,"blue oak","2","Chamise",0.94,0.908,2022-04-27,"Chamise",1.781,1.789,2022-04-27
"17","Chamise","Chamise","2020",17,"blue oak","3","Chamise",0.94,0.902,2022-04-27,"Chamise",1.781,1.873,2022-04-27
"18","Chamise","Chamise","2020",17,"blue oak","4","Chamise",0.94,0.912,2022-04-27,NA,NA,NA,NA
"19","Chamise","Chamise","2020",19,"blue oak","1","Chamise",1.52875,1.368,2022-05-09,"Chamise",2.22025,2.37,2022-05-09
"20","Chamise","Chamise","2020",19,"blue oak","2","Chamise",1.52875,1.588,2022-05-09,"Chamise",2.22025,2.256,2022-05-09
"21","Chamise","Chamise","2020",19,"blue oak","3","Chamise",1.52875,1.621,2022-05-09,"Chamise",2.22025,2.041,2022-05-09
"22","Chamise","Chamise","2020",19,"blue oak","4","Chamise",1.52875,1.538,2022-05-09,"Chamise",2.22025,2.214,2022-05-09
"23","Chamise","Chamise","2020",21,"blue oak","1","Chamise",1.775,1.7,2022-05-25,"Chamise",2.9805,2.931,2022-05-23
"24","Chamise","Chamise","2020",21,"blue oak","2","Chamise",1.775,1.85,2022-05-25,"Chamise",2.9805,3.03,2022-05-23
"25","Chamise","Chamise","2020",29,"blue oak","1","Chamise",2.8575,3.1,2022-07-19,"Chamise",3.86666666666667,3.85,2022-07-19
"26","Chamise","Chamise","2020",29,"blue oak","2","Chamise",2.8575,2.73,2022-07-19,"Chamise",3.86666666666667,4,2022-07-19
"27","Chamise","Chamise","2020",29,"blue oak","3","Chamise",2.8575,2.7,2022-07-19,"Chamise",3.86666666666667,3.75,2022-07-19
"28","Chamise","Chamise","2020",29,"blue oak","4","Chamise",2.8575,2.9,2022-07-19,NA,NA,NA,NA
"29","Chamise","Chamise","2021",10,"blue oak","1",NA,NA,NA,NA,"Chamise",1.87333333333333,1.91,2022-03-08
"30","Chamise","Chamise","2021",10,"blue oak","2",NA,NA,NA,NA,"Chamise",1.87333333333333,1.81,2022-03-08
"31","Chamise","Chamise","2021",10,"blue oak","3",NA,NA,NA,NA,"Chamise",1.87333333333333,1.9,2022-03-08
"32","Chamise","Chamise","2021",11,"blue oak","1","Chamise",1.39666666666667,1.52,2022-03-15,NA,NA,NA,NA
"33","Chamise","Chamise","2021",11,"blue oak","2","Chamise",1.39666666666667,1.14,2022-03-15,NA,NA,NA,NA
"34","Chamise","Chamise","2021",11,"blue oak","3","Chamise",1.39666666666667,1.53,2022-03-15,NA,NA,NA,NA
"35","Chamise","Chamise","2021",14,"blue oak","1","Chamise",0.1682,0.108,2022-04-04,"Chamise",2.875,2.95,2022-04-04
"36","Chamise","Chamise","2021",14,"blue oak","2","Chamise",0.1682,0.138,2022-04-04,"Chamise",2.875,2.8,2022-04-04
"37","Chamise","Chamise","2021",14,"blue oak","3","Chamise",0.1682,0.108,2022-04-04,NA,NA,NA,NA
"38","Chamise","Chamise","2021",14,"blue oak","4","Chamise",0.1682,0.279,2022-04-04,NA,NA,NA,NA
"39","Chamise","Chamise","2021",14,"blue oak","5","Chamise",0.1682,0.208,2022-04-04,NA,NA,NA,NA
"40","Chamise","Chamise","2021",15,"blue oak","1",NA,NA,NA,NA,"Chamise",1.97666666666667,2.4,2022-04-13
"41","Chamise","Chamise","2021",15,"blue oak","2",NA,NA,NA,NA,"Chamise",1.97666666666667,1.7,2022-04-13
"42","Chamise","Chamise","2021",15,"blue oak","3",NA,NA,NA,NA,"Chamise",1.97666666666667,1.83,2022-04-13
"43","Chamise","Chamise","2021",17,"blue oak","1","Chamise",0.881333333333333,0.863,2022-04-27,"Chamise",2.14233333333333,2.195,2022-04-27
"44","Chamise","Chamise","2021",17,"blue oak","2","Chamise",0.881333333333333,0.931,2022-04-27,"Chamise",2.14233333333333,2.043,2022-04-27
"45","Chamise","Chamise","2021",17,"blue oak","3","Chamise",0.881333333333333,0.85,2022-04-27,"Chamise",2.14233333333333,2.189,2022-04-27
"46","Chamise","Chamise","2021",19,"blue oak","1","Chamise",1.28033333333333,1.281,2022-05-09,"Chamise",2.092,2.144,2022-05-09
"47","Chamise","Chamise","2021",19,"blue oak","2","Chamise",1.28033333333333,1.269,2022-05-09,"Chamise",2.092,2.04,2022-05-09
"48","Chamise","Chamise","2021",19,"blue oak","3","Chamise",1.28033333333333,1.291,2022-05-09,NA,NA,NA,NA
"49","Chamise","Chamise","2021",21,"blue oak","1","Chamise",1.65,1.65,2022-05-25,"Chamise",3.7402,3.701,2022-05-23
"50","Chamise","Chamise","2021",21,"blue oak","2","Chamise",1.65,1.65,2022-05-25,"Chamise",3.7402,4.02,2022-05-23
"51","Chamise","Chamise","2021",21,"blue oak","3",NA,NA,NA,NA,"Chamise",3.7402,3.462,2022-05-23
"52","Chamise","Chamise","2021",21,"blue oak","4",NA,NA,NA,NA,"Chamise",3.7402,3.406,2022-05-23
"53","Chamise","Chamise","2021",21,"blue oak","5",NA,NA,NA,NA,"Chamise",3.7402,4.112,2022-05-23
"54","Chamise","Chamise","2021",29,"blue oak","1","Chamise",3.2,3.4,2022-07-19,"Chamise",4.175,3.7,2022-07-19
"55","Chamise","Chamise","2021",29,"blue oak","2","Chamise",3.2,3,2022-07-19,"Chamise",4.175,4.3,2022-07-19
"56","Chamise","Chamise","2021",29,"blue oak","3","Chamise",3.2,3.2,2022-07-19,"Chamise",4.175,4.6,2022-07-19
"57","Chamise","Chamise","2021",29,"blue oak","4",NA,NA,NA,NA,"Chamise",4.175,4.1,2022-07-19
"58","Chamise","Chamise","2022",10,"live oak","1",NA,NA,NA,NA,"Chamise",2.01,2.05,2022-03-08
"59","Chamise","Chamise","2022",10,"live oak","2",NA,NA,NA,NA,"Chamise",2.01,1.85,2022-03-08
"60","Chamise","Chamise","2022",10,"live oak","3",NA,NA,NA,NA,"Chamise",2.01,1.95,2022-03-08
"61","Chamise","Chamise","2022",10,"live oak","4",NA,NA,NA,NA,"Chamise",2.01,2.1,2022-03-08
"62","Chamise","Chamise","2022",10,"live oak","5",NA,NA,NA,NA,"Chamise",2.01,2.1,2022-03-08
"63","Chamise","Chamise","2022",11,"live oak","1","Chamise",1.0025,0.92,2022-03-15,NA,NA,NA,NA
"64","Chamise","Chamise","2022",11,"live oak","2","Chamise",1.0025,0.55,2022-03-15,NA,NA,NA,NA
"65","Chamise","Chamise","2022",11,"live oak","3","Chamise",1.0025,1.56,2022-03-15,NA,NA,NA,NA
"66","Chamise","Chamise","2022",11,"live oak","4","Chamise",1.0025,0.98,2022-03-15,NA,NA,NA,NA
"67","Chamise","Chamise","2022",14,"live oak","1","Chamise",0.18775,0.278,2022-04-04,NA,NA,NA,NA
"68","Chamise","Chamise","2022",14,"live oak","2","Chamise",0.18775,0.147,2022-04-04,NA,NA,NA,NA
"69","Chamise","Chamise","2022",14,"live oak","3","Chamise",0.18775,0.17,2022-04-04,NA,NA,NA,NA
"70","Chamise","Chamise","2022",14,"live oak","4","Chamise",0.18775,0.156,2022-04-04,NA,NA,NA,NA
"71","Chamise","Chamise","2022",17,"live oak","1","Chamise",0.887333333333333,0.913,2022-04-27,"Chamise",1.94266666666667,1.884,2022-04-27
"72","Chamise","Chamise","2022",17,"live oak","2","Chamise",0.887333333333333,0.871,2022-04-27,"Chamise",1.94266666666667,1.673,2022-04-27
"73","Chamise","Chamise","2022",17,"live oak","3","Chamise",0.887333333333333,0.878,2022-04-27,"Chamise",1.94266666666667,2.271,2022-04-27
"74","Chamise","Chamise","2022",19,"live oak","1","Chamise",1.344,1.294,2022-05-09,"Chamise",2.063,2.091,2022-05-09
"75","Chamise","Chamise","2022",19,"live oak","2","Chamise",1.344,1.396,2022-05-09,"Chamise",2.063,2.035,2022-05-09
"76","Chamise","Chamise","2022",19,"live oak","3","Chamise",1.344,1.478,2022-05-09,NA,NA,NA,NA
"77","Chamise","Chamise","2022",19,"live oak","4","Chamise",1.344,1.208,2022-05-09,NA,NA,NA,NA
"78","Chamise","Chamise","2022",21,"live oak","1","Chamise",1.455,1.2,2022-05-25,"Chamise",2.65083333333333,2.709,2022-05-23
"79","Chamise","Chamise","2022",21,"live oak","2","Chamise",1.455,1.72,2022-05-25,"Chamise",2.65083333333333,2.92,2022-05-23
"80","Chamise","Chamise","2022",21,"live oak","3","Chamise",1.455,1.15,2022-05-25,"Chamise",2.65083333333333,2.313,2022-05-23
"81","Chamise","Chamise","2022",21,"live oak","4","Chamise",1.455,1.75,2022-05-25,"Chamise",2.65083333333333,2.2,2022-05-23
"82","Chamise","Chamise","2022",21,"live oak","5",NA,NA,NA,NA,"Chamise",2.65083333333333,2.962,2022-05-23
"83","Chamise","Chamise","2022",21,"live oak","6",NA,NA,NA,NA,"Chamise",2.65083333333333,2.801,2022-05-23
"84","Chamise","Chamise","2022",29,"live oak","1","Chamise",2.3425,2.2,2022-07-19,"Chamise",3.72,3.7,2022-07-19
"85","Chamise","Chamise","2022",29,"live oak","2","Chamise",2.3425,2.25,2022-07-19,"Chamise",3.72,3.76,2022-07-19
"86","Chamise","Chamise","2022",29,"live oak","3","Chamise",2.3425,2.7,2022-07-19,"Chamise",3.72,3.7,2022-07-19
"87","Chamise","Chamise","2022",29,"live oak","4","Chamise",2.3425,2.22,2022-07-19,NA,NA,NA,NA
"88","Chamise","Chamise","2023",10,"live oak","1",NA,NA,NA,NA,"Chamise",1.656,1.43,2022-03-08
"89","Chamise","Chamise","2023",10,"live oak","2",NA,NA,NA,NA,"Chamise",1.656,1.55,2022-03-08
"90","Chamise","Chamise","2023",10,"live oak","3",NA,NA,NA,NA,"Chamise",1.656,1.75,2022-03-08
"91","Chamise","Chamise","2023",10,"live oak","4",NA,NA,NA,NA,"Chamise",1.656,1.85,2022-03-08
"92","Chamise","Chamise","2023",10,"live oak","5",NA,NA,NA,NA,"Chamise",1.656,1.7,2022-03-08
"93","Chamise","Chamise","2023",11,"live oak","1","Chamise",0.70575,0.782,2022-03-15,NA,NA,NA,NA
"94","Chamise","Chamise","2023",11,"live oak","2","Chamise",0.70575,0.645,2022-03-15,NA,NA,NA,NA
"95","Chamise","Chamise","2023",11,"live oak","3","Chamise",0.70575,0.779,2022-03-15,NA,NA,NA,NA
"96","Chamise","Chamise","2023",11,"live oak","4","Chamise",0.70575,0.617,2022-03-15,NA,NA,NA,NA
"97","Chamise","Chamise","2023",14,"live oak","1","Chamise",0.323,0.396,2022-04-04,NA,NA,NA,NA
"98","Chamise","Chamise","2023",14,"live oak","2","Chamise",0.323,0.503,2022-04-04,NA,NA,NA,NA
"99","Chamise","Chamise","2023",14,"live oak","3","Chamise",0.323,0.318,2022-04-04,NA,NA,NA,NA
"100","Chamise","Chamise","2023",14,"live oak","4","Chamise",0.323,0.178,2022-04-04,NA,NA,NA,NA
"101","Chamise","Chamise","2023",14,"live oak","5","Chamise",0.323,0.22,2022-04-04,NA,NA,NA,NA
"102","Chamise","Chamise","2023",17,"live oak","1","Chamise",0.773,0.818,2022-04-27,"Chamise",2.42766666666667,2.631,2022-04-27
"103","Chamise","Chamise","2023",17,"live oak","2","Chamise",0.773,0.748,2022-04-27,"Chamise",2.42766666666667,2.435,2022-04-27
"104","Chamise","Chamise","2023",17,"live oak","3","Chamise",0.773,0.753,2022-04-27,"Chamise",2.42766666666667,2.217,2022-04-27
"105","Chamise","Chamise","2023",19,"live oak","1","Chamise",1.22185714285714,1.27,2022-05-09,"Chamise",1.849,1.971,2022-05-09
"106","Chamise","Chamise","2023",19,"live oak","2","Chamise",1.22185714285714,1.088,2022-05-09,"Chamise",1.849,1.688,2022-05-09
"107","Chamise","Chamise","2023",19,"live oak","3","Chamise",1.22185714285714,1.089,2022-05-09,"Chamise",1.849,1.888,2022-05-09
"108","Chamise","Chamise","2023",19,"live oak","4","Chamise",1.22185714285714,1.358,2022-05-09,NA,NA,NA,NA
"109","Chamise","Chamise","2023",19,"live oak","5","Chamise",1.22185714285714,1.479,2022-05-09,NA,NA,NA,NA
"110","Chamise","Chamise","2023",19,"live oak","6","Chamise",1.22185714285714,1.089,2022-05-09,NA,NA,NA,NA
"111","Chamise","Chamise","2023",19,"live oak","7","Chamise",1.22185714285714,1.18,2022-05-09,NA,NA,NA,NA
"112","Chamise","Chamise","2023",21,"live oak","1","Chamise",1.30166666666667,1.25,2022-05-25,"Chamise",2.149,2.02,2022-05-23
"113","Chamise","Chamise","2023",21,"live oak","2","Chamise",1.30166666666667,1.25,2022-05-25,"Chamise",2.149,2.305,2022-05-23
"114","Chamise","Chamise","2023",21,"live oak","3","Chamise",1.30166666666667,1.1,2022-05-25,"Chamise",2.149,1.933,2022-05-23
"115","Chamise","Chamise","2023",21,"live oak","4","Chamise",1.30166666666667,1.3,2022-05-25,"Chamise",2.149,2.298,2022-05-23
"116","Chamise","Chamise","2023",21,"live oak","5","Chamise",1.30166666666667,1.41,2022-05-25,"Chamise",2.149,2.189,2022-05-23
"117","Chamise","Chamise","2023",21,"live oak","6","Chamise",1.30166666666667,1.5,2022-05-25,NA,NA,NA,NA
