"","tree","plot","site","species","week","time","mpa","date_wp","lwc_bulk","lwc_leaf","date_wc","mpa_mean","lwc_mean","timing","mean_swc_per_dry_g_y0","mean_swc_g_y0","date_rwc","swc_dw_g_y0","swc_ww_g_y0","date_lfm","type","X.x","notes.x","lfm_wet_wt_y0_g","lfm_wet_per_dry_y0_g","lfm_dry_wt_y0_g","lfm_y0_percent","X.y","notes.y","lfm_wet_wt_y1_g","lfm_wet_per_dry_y1_g","lfm_dry_wt_y1_g","lfm_y1_percent","X","notes","lfm_wet_wt_both_g","lfm_wet_per_dry_both_g","lfm_dry_wt_both_g","lfm_both_percent","date_lfm_both","rwc_percent_y0"
"1",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.878,2022-04-04,1.74375600384246,NA,2022-04-04,0.5714,1.74375600384246,"early",NA,NA,NA,NA,NA,"2022-04-04","leaf",306,NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.519,2022-04-04,1.74375600384246,NA,2022-04-04,0.5714,1.74375600384246,"early",NA,NA,NA,NA,NA,"2022-04-04","leaf",306,NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.402,2022-04-04,1.74375600384246,NA,2022-04-04,0.5714,1.74375600384246,"early",NA,NA,NA,NA,NA,"2022-04-04","leaf",306,NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.768,2022-04-04,1.74375600384246,NA,2022-04-04,0.5714,1.74375600384246,"early",NA,NA,NA,NA,NA,"2022-04-04","leaf",306,NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.29,2022-04-04,1.74375600384246,NA,2022-04-04,0.5714,1.74375600384246,"early",NA,NA,NA,NA,NA,"2022-04-04","leaf",306,NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1478,"Low","Cucu Mesa","blue oak",15,"md",1.295,2022-04-13,1.10569763677566,0.944043321299639,2022-04-13,1.6904,1.04427438938879,"late",1.3074871404077,0.6863,"2022-04-14",1.2112,1.2112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8688076628547
"7",1478,"Low","Cucu Mesa","blue oak",15,"md",1.951,2022-04-13,1.10569763677566,0.965648854961832,2022-04-13,1.6904,1.04427438938879,"late",1.3074871404077,0.6863,"2022-04-14",1.2112,1.2112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8688076628547
"8",1478,"Low","Cucu Mesa","blue oak",15,"md",1.951,2022-04-13,1.10569763677566,0.96137339055794,2022-04-13,1.6904,1.04427438938879,"late",1.3074871404077,0.6863,"2022-04-14",1.2112,1.2112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8688076628547
"9",1478,"Low","Cucu Mesa","blue oak",15,"md",1.584,2022-04-13,1.10569763677566,0.965648854961832,2022-04-13,1.6904,1.04427438938879,"late",1.3074871404077,0.6863,"2022-04-14",1.2112,1.2112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8688076628547
"10",1478,"Low","Cucu Mesa","blue oak",15,"md",1.951,2022-04-13,1.10569763677566,1.03095238095238,2022-04-13,1.6904,1.04427438938879,"late",1.3074871404077,0.6863,"2022-04-14",1.2112,1.2112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8688076628547
